Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions,image_src
,"15.6"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",A9PE7UA#ABA,Intel,Intel 12th Generation Core i7,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.6,9.5,(158 Reviews),549.99,yes,2024-12-05 03:01:56,https://www.bestbuy.com/site/15-6-full-hd-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-natural-silver/6587202.p?skuId=6587202,BestBuy,512,16,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2b810a44-822a-4dd1-ae2d-7243d954e406.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,MacBook Air 13-inch Apple M2 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD,MC7X4LL/A,Apple,Apple M2,SSD,macOS Sequoia 15.1,2560 x 1664,4.9,,(67 Reviews),999.0,yes,2024-12-05 03:02:04,https://www.bestbuy.com/site/apple-macbook-air-13-inch-apple-m2-chip-built-for-apple-intelligence-16gb-memory-256gb-ssd-midnight/6602763.p?skuId=6602763,BestBuy,256,16,13.0,2.73,0.44 x 11.97 x 8.46 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/93d63192-c71c-4a26-8e0c-da261bf863c7.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC",7J267UA#ABA,Intel,Intel Processor N200,eMMC,Chrome OS,1366 x 768 (HD),4.6,,(934 Reviews),199.0,yes,2024-12-05 03:02:10,https://www.bestbuy.com/site/hp-15-6-chromebook-laptop-intel-processor-n200-8gb-memory-64gb-emmc-natural-silver/6535992.p?skuId=6535992,BestBuy,64,8,15.6,3.81,0.78 x 14.28 x 9.51 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/9db75164-f0e3-43dd-864f-84a88c16ee56.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage",82V6009NUS,Intel,Intel Celeron,eMMC,Windows 11 Home in S Mode,1366 x 768 (HD),4.5,10.0,(95 Reviews),149.99,yes,2024-12-05 03:02:16,https://www.bestbuy.com/site/lenovo-ideapad-1-14-hd-laptop-intel-celeron-n4020-4gb-memory-with-128gb-emmc-storage-abyss-blue/6588658.p?skuId=6588658,BestBuy,128,4,14.0,3.08,0.7 x 8.52 x 12.81 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/dc030349-4df6-43e8-91c3-637f6b64a4f9.jpg;maxHeight=640;maxWidth=550;format=webp
Dell,"Inspiron 15 15.6"" IPS LED FHD Touch Screen Laptop - Intel Core i7 with 16GB Memory - 1TB SSD",i3520-7896BLK-PUS,Intel,Intel 12th Generation Core i7,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.7,9.0,(156 Reviews),749.99,yes,2024-12-05 03:02:22,https://www.bestbuy.com/site/dell-inspiron-15-15-6-ips-led-fhd-touch-screen-laptop-intel-core-i7-with-16gb-memory-1tb-ssd-carbon-black/6580453.p?skuId=6580453,BestBuy,1000,16,15.6,3.65,0.83 x 14.11 x 9.27 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6580/6580453_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD",82QD00DHUS,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.6,6.0,(775 Reviews),329.99,yes,2024-12-05 03:02:27,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i3-1215u-with-8gb-memory-intel-uhd-graphics-256gb-ssd-cloud-gray/6571565.p?skuId=6571565,BestBuy,256,8,15.6,3.52,0.7 x 9.29 x 14.17 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6571/6571565_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage",82QD00HMUS,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.6,10.0,(18 Reviews),399.99,yes,2024-12-05 03:02:32,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i5-8gb-memory-with-512gb-ssd-storage-abyss-blue/6588661.p?skuId=6588661,BestBuy,512,8,15.6,3.52,0.7 x 9.29 x 14.17 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/cc1f93aa-41cb-4744-b60b-c6cfa8f50b60.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD",A9PE6UA#ABA,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),4.8,10.25,(68 Reviews),629.99,yes,2024-12-05 03:02:37,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i5-8gb-memory-512gb-ssd-natural-silver/6587788.p?skuId=6587788,BestBuy,512,8,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5bf12e2f-37bd-42c4-9b60-76b0268a9fe5.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD",9Q1E9UA#ABA,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),4.6,12.5,(345 Reviews),579.99,yes,2024-12-05 03:02:43,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-natural-silver/6569668.p?skuId=6569668,BestBuy,512,8,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/d888bea2-f367-4692-b2a3-b534322133b6.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 3i Chromebook 15.6"" FHD Laptop - Intel Celeron - 4GB Memory with 64GB eMMC Storage",82N4004NUS,Intel,Intel Celeron,eMMC,Chrome OS,1920 x 1080 (Full HD),4.6,10.0,(66 Reviews),119.0,yes,2024-12-05 03:02:49,https://www.bestbuy.com/site/lenovo-ideapad-3i-chromebook-15-6-fhd-laptop-intel-celeron-4gb-memory-with-64gb-emmc-storage-artic-grey/6588651.p?skuId=6588651,BestBuy,64,4,15.6,3.586,0.75 x 9.57 x 14.25 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/32f98c40-13f4-4b4d-8eca-cbac21263e10.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 7 5700U with 16GB Memory - AMD Radeon Graphics - 512GB SSD",82R400DTUS,AMD,AMD Ryzen 7 5000 Series PRO,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.7,9.0,(941 Reviews),799.99,yes,2024-12-05 03:02:54,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-7-5700u-with-16gb-memory-amd-radeon-graphics-512gb-ssd-cloud-gray/6555683.p?skuId=6555683,BestBuy,512,16,15.6,3.52,0.7 x 9.29 x 14.17 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6555/6555683_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 1 15"" FHD Laptop - Ryzen 5 7520U - 16GB Memory with 256GB SSD Storage",82VG00QFUS,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.0,9.0,(22 Reviews),329.99,yes,2024-12-05 03:02:58,https://www.bestbuy.com/site/lenovo-ideapad-1-15-fhd-laptop-ryzen-5-7520u-16gb-memory-with-256gb-ssd-storage-abyss-blue/6588662.p?skuId=6588662,BestBuy,256,16,15.6,3.47,0.7 x 9.29 x 14.18 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/cc1f93aa-41cb-4744-b60b-c6cfa8f50b60.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"Envy 2-in-1 16"" 2K Touch-Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 1TB SSD",9S1R6UA#ABA,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.6,13.25,(543 Reviews),699.99,yes,2024-12-05 03:03:04,https://www.bestbuy.com/site/hp-envy-2-in-1-16-2k-touch-screen-laptop-intel-core-ultra-7-16gb-memory-1tb-ssd-glacier-silver/6571084.p?skuId=6571084,BestBuy,1024,16,16.0,4.14,0.72 x 14.04 x 9.68 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/9109e022-3c5d-456f-94c8-8f7f63fa794e.jpg;maxHeight=640;maxWidth=550;format=webp
Dell,"XPS 16 - 16.3"" OLED UHD+ Touch Laptop - Intel Evo Edition Core Ultra 9 -32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",XPS9640-9158SLV-PUS,Intel,Intel Core Ultra 9 Series 1,SSD,Windows 11 Home,3840 x 2400,4.5,28.0,(29 Reviews),2349.99,yes,2024-12-05 03:03:10,https://www.bestbuy.com/site/dell-xps-16-16-3-oled-uhd-touch-laptop-intel-evo-edition-core-ultra-9-32gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-platinum/6575144.p?skuId=6575144,BestBuy,1000,32,16.3,4.8,0.74 x 14.1 x 9.4 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6575/6575144cv16d.jpg;maxHeight=640;maxWidth=550;format=webp
Acer,"Chromebook 315 - 15.6"" HD Laptop - Intel Pentium N6000 - 4GB LPDDR4X - 128GB eMMC (Protective Sleeve)",CB315-4H-P8FZ,Intel,Intel Pentium,eMMC,Chrome OS,1366 x 768 (HD),4.8,10.0,(64 Reviews),139.0,yes,2024-12-05 03:03:15,https://www.bestbuy.com/site/acer-chromebook-315-15-6-hd-laptop-intel-pentium-n6000-4gb-lpddr4x-128gb-emmc-protective-sleeve-silver/6567960.p?skuId=6567960,BestBuy,128,4,15.6,3.53,0.79 x 14.42 x 9.61 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/d371236b-3d85-40a8-99ea-be4f6b21283e.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"Envy 2-in-1 14"" Full HD Touch-Screen Laptop - Intel Core 7 - 16GB Memory - 512GB SSD",9R8R3UA#ABA,Intel,Intel Core 7 Series 1,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.6,8.0,(244 Reviews),949.99,yes,2024-12-05 03:03:21,https://www.bestbuy.com/site/hp-envy-2-in-1-14-full-hd-touch-screen-laptop-intel-core-7-16gb-memory-512gb-ssd-natural-silver/6571082.p?skuId=6571082,BestBuy,512,16,14.0,3.35,0.77 x 12.68 x 8.3 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/0621b0be-9c7a-4fdd-9de9-cc46ea05bac4.jpg;maxHeight=640;maxWidth=550;format=webp
ASUS,Vivobook Pro 15 OLED Laptop - Intel Core Ultra 7 WITH 16GB Memory - NVIDIA GeForce RTX 3050 - 1TB SSD,Q533MJ-U73050,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.5,10.0,(201 Reviews),849.99,yes,2024-12-05 03:03:26,https://www.bestbuy.com/site/asus-vivobook-pro-15-oled-laptop-intel-core-ultra-7-with-16gb-memory-nvidia-geforce-rtx-3050-1tb-ssd-earl-gray/6568760.p?skuId=6568760,BestBuy,1000,16,15.6,4.19,14 x 9.26 x 0.79 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6568/6568760_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Legion Pro 5i 16"" Gaming Laptop WQXGA - Intel 14th Gen Core i9 with 32GB Memory - NVIDIA GeForce RTX 4070 8GB - 2TB SSD",83DF00A8US,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Home,2560 x 1600,4.7,5.2,(111 Reviews),1899.99,yes,2024-12-05 03:03:32,https://www.bestbuy.com/site/lenovo-legion-pro-5i-16-gaming-laptop-wqxga-intel-14th-gen-core-i9-with-32gb-memory-nvidia-geforce-rtx-4070-8gb-2tb-ssd-onyx-grey/6575390.p?skuId=6575390,BestBuy,2000,32,16.0,5.5,1.06 x 14.31 x 10.31 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6575/6575390_sd.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"Envy 2-in-1 16"" 2K Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD",9R8R9UA#ABA,AMD,AMD Ryzen 5 8000 Series,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.7,15.25,(283 Reviews),449.99,yes,2024-12-05 03:03:38,https://www.bestbuy.com/site/hp-envy-2-in-1-16-2k-touch-screen-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-meteor-silver/6571080.p?skuId=6571080,BestBuy,512,8,16.0,4.23,0.72 x 14.04 x 9.68 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a503fc2f-eb2f-46e1-a180-ead4b677f2a8.jpg;maxHeight=640;maxWidth=550;format=webp
ASUS,"ASUS 14"" FHD Laptop - Intel Pentium N6000 with 4GB Memory - 64GB eMMC",E410KA-PM464,Intel,Intel Pentium,eMMC,Windows 11 Home,1920 x 1080 (Full HD),4.2,10.0,(36 Reviews),119.99,yes,2024-12-05 03:03:44,https://www.bestbuy.com/site/asus-14-fhd-laptop-intel-pentium-n6000-with-4gb-memory-64gb-emmc-star-black/6587794.p?skuId=6587794,BestBuy,64,4,14.0,2.87,0.72 x 8.54 x 12.8 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/ca47eda4-9755-4c9b-aa0e-9cb79f39e666.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,MacBook Pro 14-inch Laptop M3 chip Built for Apple Intelligence - 16GB Memory - 1TB SSD,MXE03LL/A,Apple,Apple M3,SSD,macOS Sonoma 14,3024 x 1964,4.8,22.0,(142 Reviews),1399.0,yes,2024-12-05 03:03:49,https://www.bestbuy.com/site/apple-macbook-pro-14-inch-laptop-m3-chip-built-for-apple-intelligence-16gb-memory-1tb-ssd-space-gray/6565897.p?skuId=6565897,BestBuy,1000,16,14.2,3.5,0.61 x 12.31 x 8.71 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565897_sd.jpg;maxHeight=640;maxWidth=550;format=webp
MSI,"Stealth A16 AI+ -Copilot+PC- 16""240Hz QHD Ultra Thin Gaming Laptop- AMD Ryzen AI 9-365 with 32GB Memory-RTX 4070-1TB SSD",STEALTHA16A3X002,AMD,AMD Ryzen AI 300 Series,SSD,Windows 11 Home,2560 x 1600,4.7,,(18 Reviews),1699.99,yes,2024-12-05 03:03:54,https://www.bestbuy.com/site/msi-stealth-a16-ai-copilot-pc-16240hz-qhd-ultra-thin-gaming-laptop-amd-ryzen-ai-9-365-with-32gb-memory-rtx-4070-1tb-ssd-core-black/6590023.p?skuId=6590023,BestBuy,1000,32,16.0,4.39,0.85 x 14 x 10.22 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1de90f05-7bd6-4494-959b-90a9b142f9a4.jpg;maxHeight=640;maxWidth=550;format=webp
Samsung,"Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",NP750XGK-KS2US,Intel,Intel Core 7 Series 1,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.6,15.0,(285 Reviews),529.99,yes,2024-12-05 03:04:00,https://www.bestbuy.com/site/samsung-galaxy-book4-15-6-fhd-laptop-intel-core-7-16gb-memory-512gb-ssd-silver/6572184.p?skuId=6572184,BestBuy,512,16,15.6,3.42,0.61 x 14.04 x 9.02 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6572/6572184cv21d.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad Slim 3 Chromebook Laptop - 14"" FHD Touchscreen Laptop - MediaTek Kompanio 520 - 4GB Memory - 64GB eMMC",82XJ0000US,MediaTek,MediaTek Kompanio 500 Series,eMMC,Chrome OS,1920 x 1080 (Full HD),4.6,13.5,"(1,243 Reviews)",319.0,yes,2024-12-05 03:04:06,https://www.bestbuy.com/site/lenovo-ideapad-slim-3-chromebook-laptop-14-fhd-touchscreen-laptop-mediatek-kompanio-520-4gb-memory-64gb-emmc-abyss-blue/6531742.p?skuId=6531742,BestBuy,64,4,14.0,2.87,0.73 x 12.83 x 8.73 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6531/6531742_sd.jpg;maxHeight=640;maxWidth=550;format=webp
MSI,"THIN GF63 15.6"" 144Hz FHD Gaming Laptop-intel core i5-12450H with 8GB Memory-RTX 2050-1TB SSD",Thin GF63 12UCX-898US,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.6,51.0,(234 Reviews),499.99,yes,2024-12-05 03:04:11,https://www.bestbuy.com/site/msi-thin-gf63-15-6-144hz-fhd-gaming-laptop-intel-core-i5-12450h-with-8gb-memory-rtx-2050-1tb-ssd-black/6559443.p?skuId=6559443,BestBuy,1000,8,15.6,4.1,0.85 x 14.13 x 9.99 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e919ed91-9a24-4217-a667-b820cfd95d8a.jpg;maxHeight=640;maxWidth=550;format=webp
Alienware,"m16 R2 16"" 240Hz Gaming Laptop QHD - Intel Core Series 1 Ultra 9 with 32GB RAM - NVIDIA GeForce RTX 4070 - 1TB SSD",AWm16R-9487BLK-PUS,Intel,Intel Core Ultra 9 Series 1,SSD,Windows 11 Home,2560 x 1600,4.7,,(76 Reviews),1599.99,yes,2024-12-05 03:04:21,https://www.bestbuy.com/site/alienware-m16-r2-16-240hz-gaming-laptop-qhd-intel-core-series-1-ultra-9-with-32gb-ram-nvidia-geforce-rtx-4070-1tb-ssd-dark-metallic-moon/6576922.p?skuId=6576922,BestBuy,1000,32,16.0,5.75,0.79 x 14.33 x 9.82 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4ac9d18b-0adf-4d18-bc02-c34a3bd6b9e8.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,MacBook Air 15-inch Apple M3 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD,MC9G4LL/A,Apple,Apple M3,SSD,macOS Sequoia 15.1,2880 x 1864 (Retina),4.5,,(13 Reviews),1299.0,yes,2024-12-05 03:04:26,https://www.bestbuy.com/site/apple-macbook-air-15-inch-apple-m3-chip-built-for-apple-intelligence-16gb-memory-256gb-ssd-midnight/6602776.p?skuId=6602776,BestBuy,256,16,15.0,3.33,0.45 x 13.4 x 9.35 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/76ff6ed4-f8dd-44f7-85d6-d08075fe68b2.jpg;maxHeight=640;maxWidth=550;format=webp
ASUS,"ROG Zephyrus G16 - 16"" OLED 240Hz Gaming Laptop - Copilot+ PC - AMD Ryzen AI 9 HX - 32GB Memory - NVIDIA RTX 4070 - 2TB",GA605WI-G16.R94070,AMD,AMD Ryzen AI 300 Series,SSD,Windows 11 Home,2560 x 1600,4.5,,(87 Reviews),1999.99,yes,2024-12-05 03:04:34,https://www.bestbuy.com/site/asus-rog-zephyrus-g16-16-oled-240hz-gaming-laptop-copilot-pc-amd-ryzen-ai-9-hx-32gb-memory-nvidia-rtx-4070-2tb-platinum-white/6583376.p?skuId=6583376,BestBuy,2000,32,16.0,4.08,0.59 x 9.69 x 13.94 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6003703e-179e-4de3-84fb-3b3a200cfb9a.jpg;maxHeight=640;maxWidth=550;format=webp
ASUS,"Vivobook 14"" Laptop - Intel Core i3-1215U with 8GB Memory - 128GB SSD",X1404ZA-I38128,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.4,10.0,(391 Reviews),429.99,yes,2024-12-05 03:05:01,https://www.bestbuy.com/site/asus-vivobook-14-laptop-intel-core-i3-1215u-with-8gb-memory-128gb-ssd-quiet-blue/6568805.p?skuId=6568805,BestBuy,128,8,14.0,3.1,0.78 x 8.5 x 12.8 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6568/6568805_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Yoga Slim 7x - Copilot+ PC - 14.5"" 3K OLED Touch-Screen Laptop - Snapdragon X Elite - 32GB Memory - 1TB SSD",83ED004WUS,Qualcomm,Qualcomm Snapdragon X Elite,SSD,Windows 11 Home,2944 x 1840,5.0,15.0,(5 Reviews on lenovo.com),1349.99,yes,2024-12-05 03:05:09,https://www.bestbuy.com/site/lenovo-yoga-slim-7x-copilot-pc-14-5-3k-oled-touch-screen-laptop-snapdragon-x-elite-32gb-memory-1tb-ssd-cosmic-blue/6603397.p?skuId=6603397,BestBuy,1000,32,14.5,2.816,0.59 x 8.87 x 12.8 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6582/6582538_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Yoga Pro 9i 16"" 3.2K Touchscreen Laptop - Intel Core Ultra 9 185H with 32GB Memory - NVIDIA GeForce RTX 4050 - 1TB SSD",83DN0006US,Intel,Intel Core Ultra 9 Series 1,SSD,Windows 11 Home,3200 x 2000,4.4,8.0,(147 Reviews),1699.99,yes,2024-12-05 03:05:14,https://www.bestbuy.com/site/lenovo-yoga-pro-9i-16-3-2k-touchscreen-laptop-intel-core-ultra-9-185h-with-32gb-memory-nvidia-geforce-rtx-4050-1tb-ssd-luna-grey/6571367.p?skuId=6571367,BestBuy,1000,32,16.0,4.96,0.74 x 14.28 x 9.99 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6571/6571367_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Legion 7i 16"" Gaming Laptop WQXGA - Intel 14th Gen Core i9 with 32GB Memory - NVIDIA GeForce RTX 4070 8GB - 1TB SSD",83FD0015US,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Home,2560 x 1600,4.5,5.7,(123 Reviews),1499.99,yes,2024-12-05 03:05:20,https://www.bestbuy.com/site/lenovo-legion-7i-16-gaming-laptop-wqxga-intel-14th-gen-core-i9-with-32gb-memory-nvidia-geforce-rtx-4070-8gb-1tb-ssd-glacier-white/6575387.p?skuId=6575387,BestBuy,1000,32,16.0,4.928,0.78 x 14.09 x 10.33 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6575/6575387_sd.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD",A9HM6UA#ABA,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),4.7,10.25,(65 Reviews),269.99,yes,2024-12-05 03:05:25,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i3-8gb-memory-256gb-ssd-natural-silver/6587436.p?skuId=6587436,BestBuy,256,8,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/079dd0aa-1f80-4f4c-9d81-f276438ccc38.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"17.3"" Full HD Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD",A9FY8UA#ABA,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.8,9.0,(142 Reviews),429.99,yes,2024-12-05 03:05:31,https://www.bestbuy.com/site/hp-17-3-full-hd-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-natural-silver/6587274.p?skuId=6587274,BestBuy,512,8,17.3,4.58,0.78 x 15.78 x 10.15 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3992efbb-ed8b-430e-b3e4-bf7eb99a6865.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"Victus 16.1"" Gaming Laptop - AMD Ryzen 7-8845HS - 16GB DDR5 Memory - NVIDIA GeForce RTX 4070 - 512GB SSD",A1SV3UA#ABA,AMD,AMD Ryzen 7 8000 Series,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.5,10.25,(99 Reviews),879.99,yes,2024-12-05 03:05:36,https://www.bestbuy.com/site/hp-victus-16-1-gaming-laptop-amd-ryzen-7-8845hs-16gb-ddr5-memory-nvidia-geforce-rtx-4070-512gb-ssd-mica-silver/6578934.p?skuId=6578934,BestBuy,512,16,16.1,5.15,0.94 x 14.53 x 10.21 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3d2a175b-0a0f-4ee3-a258-2d7ba68d6e99.jpg;maxHeight=640;maxWidth=550;format=webp
ASUS,"Zenbook 14 OLED 14” WUXGA Touch Laptop, Intel Core Ultra 7 - Intel Evo Edition - 16GB Memory - 1TB SSD",Q425MA-U71TB,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.7,15.0,(408 Reviews),1049.99,yes,2024-12-05 03:05:41,https://www.bestbuy.com/site/asus-zenbook-14-oled-14-wuxga-touch-laptop-intel-core-ultra-7-intel-evo-edition-16gb-memory-1tb-ssd-jasper-gray/6568761.p?skuId=6568761,BestBuy,1000,16,14.0,2.82,12.29 x 8.66 x 0.59 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6568/6568761_sd.jpg;maxHeight=640;maxWidth=550;format=webp
ASUS,"Vivobook 16 16"" Laptop - AMD Ryzen 7 with 16GB Memory - 1TB SSD",M1605YA-ES74,AMD,AMD Ryzen 7 7000 Series,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.5,10.0,(111 Reviews),599.99,yes,2024-12-05 03:05:46,https://www.bestbuy.com/site/asus-vivobook-16-16-laptop-amd-ryzen-7-with-16gb-memory-1tb-ssd-indie-black/6542092.p?skuId=6542092,BestBuy,1000,16,16.0,4.14,0.78 x 14 1/10 x 9 4/5 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6542/6542092cv16d.jpg;maxHeight=640;maxWidth=550;format=webp
Dell,XPS 14 – 14.5” 3.2K OLED Touch Laptop – Intel Core Ultra 7 – Evo Edition - 32GB Memory – Intel Arc Graphics - ITB SSD,XPS9440-7134SLV-PUS,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,3200 x 2000,4.5,21.0,(43 Reviews),1499.99,yes,2024-12-05 03:05:52,https://www.bestbuy.com/site/dell-xps-14-14-5-3-2k-oled-touch-laptop-intel-core-ultra-7-evo-edition-32gb-memory-intel-arc-graphics-itb-ssd-platinum/6575150.p?skuId=6575150,BestBuy,1000,32,14.5,3.8,0.71 x 12.6 x 8.5 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6575/6575150cv19d.jpg;maxHeight=640;maxWidth=550;format=webp
