Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions,image_src
ASUS,"Vivobook Go 14"" FHD Touch Laptop - Intel Pentium Silver with 8GB Memory - 128GB eMMC",TP1400KA-DS24T,Intel,Intel Pentium,eMMC,Windows 11 Home in S Mode,1920 x 1080 (Full HD),5.0,,(3 Reviews),449.99,,2024-12-05 04:29:26,https://www.bestbuy.com/site/asus-vivobook-go-14-fhd-touch-laptop-intel-pentium-silver-with-8gb-memory-128gb-emmc-quiet-blue/6588609.p?skuId=6588609,BestBuy,128,8,14.0,3.31,0.67 x 12.63 x 8.54 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6588/6588609_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,"Geek Squad Certified Refurbished MacBook Air® - 13.3"" Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage",3PL GSRF MMGF2LL/A,Intel,Intel 5th Generation Core i5,UFS,Mac OS,1440 x 900 (WXGA+),3.0,,(2 Reviews),149.99,No,2024-12-05 04:29:33,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-display-intel-core-i5-8gb-memory-128gb-flash-storage-silver/6549237.p?skuId=6549237,BestBuy,128,8,13.3,2.96,0.68 x 12.8 x 8.94 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6549/6549237_sd.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"HP Elitebook 755 G5 Laptop, AMD Ryzen 7 Pro 2700U  2.2GHZ, 16GB RAM, 256GB SSD  Windows 10 Pro-64- Refurbished",HP.755G5.R7P.2700U.16.256.W10P,AMD,AMD Ryzen 7 2000 Series,SSD,Windows 10 Pro,1920 x 1080 (Full HD),5.0,,(1 Review),289.0,No,2024-12-05 04:29:40,https://www.bestbuy.com/site/hp-elitebook-755-g5-laptop-amd-ryzen-7-pro-2700u-2-2ghz-16gb-ram-256gb-ssd-windows-10-pro-64-refurbished-silver/6598982.p?skuId=6598982,BestBuy,256,16,15.6,4.37,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/c00c5109-6b1d-4916-9060-2a48a6703d53.jpg;maxHeight=640;maxWidth=550;format=webp
Microsoft,GSRF Surface Laptop Studio – 14.4” Touch Screen – Intel Core i7 -32GB Memory – NVIDIA GeForce RTX 3050 Ti - 1TB SSD,GSRF ABY-00001,Intel,Intel 11th Generation Core i7,SSD,Windows 11 Home,2400 x 1600,,18.0,Be the first to write a review,1679.99,No,2024-12-05 04:29:49,https://www.bestbuy.com/site/microsoft-gsrf-surface-laptop-studio-14-4-touch-screen-intel-core-i7-32gb-memory-nvidia-geforce-rtx-3050-ti-1tb-ssd-platinum/6561437.p?skuId=6561437,BestBuy,1000,32,14.4,4.0,0.74 x 12.72 x 8.98 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6478/6478303cv11d.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage",TI-GSRF MPXT2LL/A,Intel,Intel 7th Generation Core i5,SSD,Mac OS,2560 x 1600 (Retina),4.0,,(24 Reviews),449.99,No,2024-12-05 04:29:54,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-intel-core-i5-8-gb-memory-256gb-flash-storage-space-gray/6469035.p?skuId=6469035,BestBuy,256,8,13.3,3.02,0.59 x 11.97 x 8.36 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6469/6469035_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Microsoft,"Geek Squad Certified Refurbished Surface Laptop 3 15"" Touch-Screen - AMD Ryzen 7 - 32GB Memory - 1TB SSD",GSRF VFP-00001,AMD,AMD Ryzen 7 Microsoft Surface Edition,SSD,Windows 10 Home,2496 x 1664,,11.5,Be the first to write a review,2249.99,No,2024-12-05 04:30:03,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-15-touch-screen-amd-ryzen-7-32gb-memory-1tb-ssd-matte-black/6463290.p?skuId=6463290,BestBuy,1000,32,15.0,3.4,0.57 x 13.4 x 9.6 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6463/6463290_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD",TI-GSRF MWP42LL/A,Intel,Intel 10th Generation Core i5,SSD,Mac OS,2560 x 1600 (Retina),,10.0,Be the first to write a review,899.99,No,2024-12-05 04:30:10,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-with-touch-bar-intel-core-i5-16gb-memory-512gb-ssd-space-gray/6437575.p?skuId=6437575,BestBuy,512,16,13.3,3.1,0.61 x 12 x 8.36 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6437/6437575_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Razer,"Geek Squad Certified Refurbished Razer Book 13.4"" Touch Screen Laptop - Intel Core i7 - 16GB Memory - 256GB SSD",GSRF RZ09-03571EM1-R3U1,Intel,Intel 11th Generation Core i7 Evo Platform,SSD,Windows 10 Home,1920 x 1200 (WUXGA),,,Be the first to write a review,1439.99,No,2024-12-05 04:30:17,https://www.bestbuy.com/site/geek-squad-certified-refurbished-razer-book-13-4-touch-screen-laptop-intel-core-i7-16gb-memory-256gb-ssd/6448269.p?skuId=6448269,BestBuy,256,16,13.4,,0.6 x 11.6 x 7.8 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6448/6448269_rd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Pre-Owned Flex 5i 14"" Laptop Intel Core i3-1115G4 8GB Ram 256GB SSD W11H in S Mode",82HS00R6US,Intel,Intel 11th Generation Core i3,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),3.3,,(14 Reviews),299.99,No,2024-12-05 04:30:26,https://www.bestbuy.com/site/lenovo-pre-owned-flex-5i-14-laptop-intel-core-i3-1115g4-8gb-ram-256gb-ssd-w11h-in-s-mode-gray/6527730.p?skuId=6527730,BestBuy,512,8,14.0,3.31,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8cce3968-104b-4c1f-b6fb-a4bfb33becfe.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,"Apple MacBook Air 13.3"" Certified Refurbished - Intel Core i3 Touch ID - 8GB Memory - 256GB SSD (2020)",MWTJ2LL/A,Intel,Intel 5th Generation Core i3,SSD,Mac OS,2560 x 1600,5.0,,(3 Reviews),489.99,No,2024-12-05 04:30:34,https://www.bestbuy.com/site/apple-macbook-air-13-3-certified-refurbished-intel-core-i3-touch-id-8gb-memory-256gb-ssd-2020-space-gray/6458398.p?skuId=6458398,BestBuy,256,8,13.3,2.8,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6458/6458398_sd.jpg;maxHeight=640;maxWidth=550;format=webp
