Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Storage_Capacity(GB),Operating_System,Display_Size(Inches),Display_Resolution,Extracted_Rating,Laptop_Dimensions,Stock,Time_Of_Extraction,URL,Source,Laptop_Weight(Pounds),RAM(GB),Battery_Life(Hours_Upto),Price,No_Of_Reviews
SAMSUNG,Galaxy Book2 Pro,NP930XED-KB3IN,Intel,Core i5,SSD,512,Windows 11 Home,13.3,1920 x 1080 Pixel,4.5,11.98 x 7.87 x 0.45 inches,Yes,2024-11-04 17:14:28,https://www.flipkart.com/samsung-galaxy-book2-pro-evo-amoled-intel-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-np930xed-kb3in-thin-light-laptop/p/itmadaca4430ea2a?pid=COMGQFHY5EXJSPZ4&lid=LSTCOMGQFHY5EXJSPZ4PHFJ32&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_828&otracker=browse&fm=organic&iid=en_3v61T5H3TzXp_lpFH0cPxDYPTbmi1tvtzr0Qm8X8OPnj2kpQkekVTcZuBMlj78EJqUM0Ca51BKpBEuJsTMyy3onfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,1.92,16,,1115.88,1983.0
Lenovo,14ALC7,14ALC7,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,,1920 x 1200 Pixel,3.9,12.33 x 8.85 x 0.7 inches,Yes,2024-11-04 17:14:31,https://www.flipkart.com/lenovo-ideapad-flex-5-amd-ryzen-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-14alc7-2-1-laptop/p/itm2e70fa64d7a76?pid=COMGGR9SYEE2CZT8&lid=LSTCOMGGR9SYEE2CZT8ICACKF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_829&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMGGR9SYEE2CZT8.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,3.42,16,,834.0,45.0
Lenovo,IdeaPad 3 Intel,15ITL6/ 15ITL6 Ub,Intel,Core i3,SSD,512,Windows 10 Home,,1920 x 1080 Pixel,4.4,14.14 x 9.31 x 0.78 inches,Yes,2024-11-04 17:14:35,https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-10-home-15itl6-15itl6-ub-thin-light-laptop/p/itm287a3ddfb5a5d?pid=COMG5EAXKQ7ZH3TY&lid=LSTCOMG5EAXKQ7ZH3TYONAHZA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_830&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMG5EAXKQ7ZH3TY.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,8,7.5,406.8,325.0
HP,15s-fy5002TU,15s-fy5002TU,Intel,Core i5,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.09 x 9.53 x 0.7 inches,Yes,2024-11-04 17:14:39,https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_831&otracker=browse&fm=organic&iid=en_3v61T5H3TzXp_lpFH0cPxDYPTbmi1tvtzr0Qm8X8OPkqSc4uNWKt_3EU_q74dXcskadDimhzS61wlIbvNMD3FvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,3.73,8,,599.88,4726.0
Acer,A325-42,A325-42,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.2 x 9.97 x 0.76 inches,Yes,2024-11-04 17:14:42,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmd22baec179aa3?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_832&otracker=browse&fm=organic&iid=en_3v61T5H3TzXp_lpFH0cPxDYPTbmi1tvtzr0Qm8X8OPlHurkrkeznDy16hXMgJmNbPqUJwHdjpLeNrf7H7_0VP_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,3.95,16,,443.88,733.0
HP,G8,247 G8,AMD,Ryzen 5 Quad Core,SSD,512,DOS,,1366 x 768 pixel,3.8,,Yes,2024-11-04 17:14:45,https://www.flipkart.com/hp-amd-ryzen-5-quad-core-8-gb-512-gb-ssd-dos-247-g8-thin-light-laptop/p/itmd5f2606fb56e9?pid=COMGQGBUTVS7HMTB&lid=LSTCOMGQGBUTVS7HMTBOWEWCW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_833&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMGQGBUTVS7HMTB.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,8,,359.88,12.0
Lenovo,LOQ,15IRX9D2,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1080 pixel,4.2,,Yes,2024-11-04 17:14:48,https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-24-gb-512-gb-ssd-windows-11-home-6-graphics-15irx9d2-laptop/p/itmdd907001d6a14?pid=COMH3KMAAHGGRZH3&lid=LSTCOMH3KMAAHGGRZH3IMERH7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_834&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMH3KMAAHGGRZH3.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,24,,959.88,
DELL,Inspiron 15 3511,D560745WIN9B,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1080$$Pixels pixel,4.0,,Yes,2024-11-04 17:14:51,https://www.flipkart.com/dell-inspiron-3511-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-d560745win9b-laptop/p/itmd26e543ccfc55?pid=COMGEH36WHXAZ66G&lid=LSTCOMGEH36WHXAZ66G2XMCXX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_835&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMGEH36WHXAZ66G.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,8,6.0,545.88,119.0
HP,14-eh0037TU,14-eh0037TU,Intel,Core i5,SSD,512,Windows 11 Home,14.0,2880 x 1800 Pixel,3.9,12.8 x 8.5 x 0.67 inches,Yes,2024-11-04 17:14:54,https://www.flipkart.com/hp-pavilion-plus-creator-oled-eyesafe-h-series-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-14-eh0037tu-thin-light-laptop/p/itm197f74e41bb6f?pid=COMGH2NJNNQH3NUN&lid=LSTCOMGH2NJNNQH3NUNKHZQLM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_836&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMGH2NJNNQH3NUN.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,3.11,16,,857.88,91.0
HP,15s-eq2143au,15s-eq2143au,AMD,Ryzen 3 Quad Core,SSD,512,Windows 11 Home,,1920 x 1080 pixel,4.2,14.09 x 9.53 x 0.7 inches,Yes,2024-11-04 17:14:58,https://www.flipkart.com/hp-15s-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm59e288d010cef?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESS83R2QP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_837&otracker=browse&fm=organic&iid=en_3v61T5H3TzXp_lpFH0cPxDYPTbmi1tvtzr0Qm8X8OPmVbkyHKG-KIx_bMkQIrhkjPIaw24rjHuJ5hdlEO1hV1_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,8,9.0,383.88,5233.0
