Laptop_Price,Laptop_Brand,Laptop_Colour,Laptop_Memory_GB,Laptop_Storage_GB,Laptop_Display_Size_in,Laptop_name,Laptop_Graphics,No_Of_Reviews,Rating_5,Processor_Company_Name,Storage_Type,Operating_System,Processor_Model
$699.99,Acer,Black,16,512,15.6,No Model,No Graphics,52,4.3,AMD Ryzen,SSD,Windows11, 5 7535HS - ANV15-41-R2Y3
$159.00,HP,Gray,4,64eMMC,14,Chromebook,No Graphics,2131,4.5,Intel,eMMC,Windows11, Celeron  - 14a-ne0013dx
"$1,699.00",Apple,Black,18,512,14,MacBook Pro,No Graphics,2305,4.9,Apple,SSD,Mac OS,M3 Pro chip Built for Apple - MRX33LL/A
"$1,279.99",HP,Black,16,1024,14,Spectre,No Graphics,130,4.6,Intel,SSD,Windows11, Core Ultra - 14-eu0013dx
"$1,299.99",ASUS,Gray,16,1024,14,Vivobook,NVIDIA GeForce RTX 3050,151,4.6,Intel,SSD,Windows11, Core Ultra - Q533MJ-U73050
$549.99,Lenovo,Grey,8,512,16,Yoga,No Graphics,52,4.2,AMD Ryzen,SSD,Windows11, 5 8640HS - 83DM0004US
$179.99,HP,White,4,64eMMC,14,No Model,No Graphics,5121,4.1,Intel,eMMC,Windows11, Celeron  - 14-dq0052dx
"$1,499.99",Dell,Blue,32,1024,16,Inspiron,No Graphics,32,4.4,Intel,SDD,Windows11, Core Ultra - i7640-7380BLU-PUS
"$1,099.99",ASUS,Grey,16,1024,15.6,No Model,NVIDIA GeForce RTX 4070,164,4.7,Intel,SSD,Windows11, Core i7 - FX507VI-F15.I74070
"$1,599.99",ASUS,Gray,16,512,16,ROG Zephyrus,NVIDIA GeForce RTX 4070,64,4.5,Intel,SSD,Windows11, 13th Gen - GU603VI-G16.I74070
$999.99,Dell,Graphite,16,512,13.4,XPS,No Graphics,49,4.5,Snapdragon,SSD,Windows11, X Elite - XPS9345-SX12807BLK-PUS
$899.99,Lenovo,Grey,16,512,16,Yoga,No Graphics,100,4.8,Intel,SSD,Windows11, Core Ultra - 83DL0000US
