Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions
Lenovo,"ThinkPad E16 Gen 1 16"" Laptop - AMD Ryzen 7 with 16GB memory - 512GB SSD",21JT001QUS,AMD,AMD Ryzen 7 7000 Series,SSD,Windows 11 Pro,1920 x 1200 (WUXGA),5.0,14.45,(6 Reviews),919.99,No,2024-11-02 20:52:39,https://www.bestbuy.com/site/lenovo-thinkpad-e16-gen-1-16-laptop-amd-ryzen-7-with-16gb-memory-512gb-ssd-black/6559397.p?skuId=6559397,BestBuy,512,16,16.0,4.34,0.78 x 14.02 x 9.75 inches
Apple,"Apple MacBook Pro 13"" Pre-Owned - Intel Core i5 2.3GHz - 8GB Memory - 128GB SSD (2017)",MPXQ2LL/A,Intel,Intel 7th Generation Core i5,SSD,Mac OS,2560 x 1600,3.7,,(28 Reviews),349.99,No,2024-11-02 20:52:44,https://www.bestbuy.com/site/apple-macbook-pro-13-pre-owned-intel-core-i5-2-3ghz-8gb-memory-128gb-ssd-2017-space-gray/6461245.p?skuId=6461245,BestBuy,128,8,13.0,3.02,
HP,"OMEN Transcend 16"" WUXGA Gaming Laptop - Intel Core i7-13700HX - 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",16-U0010NR,Intel,Intel 13th Generation Core i7,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.4,11.5,(33 Reviews on hp.com),1661.99,yes,2024-11-02 20:52:50,https://www.bestbuy.com/site/hp-omen-transcend-16-wuxga-gaming-laptop-intel-core-i7-13700hx-16gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-shadow-black/6600312.p?skuId=6600312,BestBuy,1024,16,16.0,4.79,0.78 x 14.04 x 10.59 inches
ASUS,"ROG Zephyrus G16 - 16"" OLED 240Hz Gaming Laptop - Copilot+ PC - AMD Ryzen AI 9 HX - 16GB Memory - NVIDIA RTX 4060 - 1TB",GA605WV-G16.R94060,AMD,AMD Ryzen AI 300 Series,SSD,Windows 11 Home,2560 x 1600,1.4,,(5 Reviews),1899.99,yes,2024-11-02 20:52:54,https://www.bestbuy.com/site/asus-rog-zephyrus-g16-16-oled-240hz-gaming-laptop-copilot-pc-amd-ryzen-ai-9-hx-16gb-memory-nvidia-rtx-4060-1tb-platinum-white/6583375.p?skuId=6583375,BestBuy,1000,16,16.0,4.08,0.59 x 9.69 x 13.94 inches
ASUS,ROG Strix G16 16” 240Hz Gaming Laptop QHD - Intel Core i9-14900HX with 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD,G614JVR-ES94,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Home,2560 x 1600,4.7,,(13 Reviews),1699.99,yes,2024-11-02 20:52:59,https://www.bestbuy.com/site/asus-rog-strix-g16-16-240hz-gaming-laptop-qhd-intel-core-i9-14900hx-with-16gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-eclipse-gray/6572161.p?skuId=6572161,BestBuy,1000,16,16.0,5.51,
MSI,"Vector GP68HX 16"" 144Hz FHD+ Gaming Laptop-intel core i9-13950HX with 16GB Memory-RTX 4080-1TB SSD",Vector GP68HX 13VH-256US,Intel,Intel 13th Generation Core i9,SSD,Windows 11 Home,1920 x 1200 (Full HD+),4.5,90.0,(4 Reviews),1889.99,yes,2024-11-02 20:53:05,https://www.bestbuy.com/site/msi-vector-gp68hx-16-144hz-fhd-gaming-laptop-intel-core-i9-13950hx-with-16gb-memory-rtx-4080-1tb-ssd/6559431.p?skuId=6559431,BestBuy,1000,16,16.0,5.89,1.12 x 14.06 x 11.18 inches
HP,HP Elitebook 745 G6 Laptop AMD Ryzen 7-3700U 2.3Ghz 8GB 256GB SSD Windows 10 Pro - Refurbished,745G6.8.256.Pro,AMD,AMD Ryzen 7 3000 Series,SSD,Windows 10 Pro,1920 x 1080 (Full HD),3.6,,(15 Reviews),259.99,yes,2024-11-02 20:53:10,https://www.bestbuy.com/site/hp-elitebook-745-g6-laptop-amd-ryzen-7-3700u-2-3ghz-8gb-256gb-ssd-windows-10-pro-refurbished-silver/6520807.p?skuId=6520807,BestBuy,256,8,14.0,3.31,
Apple,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD",GSRF MUHR2LL/A,Intel,Intel 8th Generation Core i5,SSD,Mac OS,2560 x 1600 (Retina),4.4,,(48 Reviews),549.99,yes,2024-11-02 20:53:15,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-with-touch-bar-intel-core-i5-8gb-memory-256gb-ssd-silver/6489839.p?skuId=6489839,BestBuy,256,8,13.3,3.02,0.59 x 12 x 8.36 inches
Dell,"Latitude 7490 14"" Refurbished Laptop - Intel Core i5 - 16GB Memory - 1TB SSD",7490,Intel,Intel 7th Generation Core i5,SSD,Windows 10 Pro,1920 x 1080 (Full HD),4.4,,(13 Reviews),447.99,yes,2024-11-02 20:53:19,https://www.bestbuy.com/site/dell-latitude-7490-14-refurbished-laptop-intel-core-i5-16gb-memory-1tb-ssd-black/6490958.p?skuId=6490958,BestBuy,1000,16,14.0,3.11,
HP,"ZBook Firefly 15 G7 15.6"" Refurbished Laptop - Intel 10th Gen Core i7 with 32GB Memory - Intel UHD Graphics - 1TB SSD",ZBook Firefly 15 G7,Intel,Intel 10th Generation Core i7,SSD,Windows 11 Pro,1920 x 1080 (Full HD),,,Be the first to write a review,915.0,yes,2024-11-02 20:53:24,https://www.bestbuy.com/site/hp-zbook-firefly-15-g7-15-6-refurbished-laptop-intel-10th-gen-core-i7-with-32gb-memory-intel-uhd-graphics-1tb-ssd-gray/6586572.p?skuId=6586572,BestBuy,1000,32,15.6,3.74,
