Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions
HP,"Envy 2-in-1 16"" 2K Touch-Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 1TB SSD",16-ac0023dx,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.6,13.25,(432 Reviews),1099.99,yes,2024-11-02 20:17:21,https://www.bestbuy.com/site/hp-envy-2-in-1-16-2k-touch-screen-laptop-intel-core-ultra-7-16gb-memory-1tb-ssd-glacier-silver/6571084.p?skuId=6571084,BestBuy,1024,16,16.0,4.14,0.72 x 14.04 x 9.68 inches
Samsung,"Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",NP750XGK-KS2US,Intel,Intel Core 7 Series 1,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.6,15.0,(224 Reviews),549.99,yes,2024-11-02 20:17:26,https://www.bestbuy.com/site/samsung-galaxy-book4-15-6-fhd-laptop-intel-core-7-16gb-memory-512gb-ssd-silver/6572184.p?skuId=6572184,BestBuy,512,16,15.6,3.42,0.61 x 9.02 x 14.04 inches
Dell,Inspiron 15 Touch Screen Laptop – Intel Core i5 – 8GB – 512GB SSD,i3520-5124BLK-PUS,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.5,7.0,(711 Reviews),629.99,yes,2024-11-02 20:17:30,https://www.bestbuy.com/site/dell-inspiron-15-touch-screen-laptop-intel-core-i5-8gb-512gb-ssd-carbon-black/6573731.p?skuId=6573731,BestBuy,512,8,15.6,3.65,0.83 x 14.11 x 9.27 inches
Lenovo,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 7 5700U with 16GB Memory - AMD Radeon Graphics - 512GB SSD",82R400DTUS,AMD,AMD Ryzen 7 5000 Series PRO,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.7,9.0,(860 Reviews),479.99,yes,2024-11-02 20:17:35,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-7-5700u-with-16gb-memory-amd-radeon-graphics-512gb-ssd-cloud-gray/6555683.p?skuId=6555683,BestBuy,512,16,15.6,3.52,0.7 x 9.29 x 14.17 inches
HP,"15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD",15-FD0023DX,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),5.0,10.25,(4 Reviews),329.99,yes,2024-11-02 20:17:46,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i3-8gb-memory-256gb-ssd-natural-silver/6587436.p?skuId=6587436,BestBuy,256,8,15.6,3.52,0.73 x 14.17 x 9.29 inches
ASUS,"ASUS 14"" FHD Laptop - Intel Celeron N4500 with 4GB Memory - 64GB eMMC",E410KA-CL464,Intel,Intel Celeron,eMMC,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.2,10.0,(250 Reviews),119.99,yes,2024-11-02 20:17:51,https://www.bestbuy.com/site/asus-14-fhd-laptop-intel-celeron-n4500-with-4gb-memory-64gb-emmc-star-black/6568803.p?skuId=6568803,BestBuy,64,4,14.0,2.87,0.71 x 8.54 x 12.8 inches
Lenovo,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 5 7520U with 8GB Memory - AMD Radeon Graphics - 256GB SSD",82VG00MYUS,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.5,10.0,(225 Reviews),319.99,yes,2024-11-02 20:17:56,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-5-7520u-with-8gb-memory-amd-radeon-graphics-256gb-ssd-abyss-blue/6572417.p?skuId=6572417,BestBuy,256,8,15.6,3.52,0.7 x 9.29 x 14.17 inches
HP,"15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC",15a-nb0013dx,Intel,Intel Processor N200,eMMC,Chrome OS,1366 x 768 (HD),4.6,,(909 Reviews),199.0,yes,2024-11-02 20:18:01,https://www.bestbuy.com/site/hp-15-6-chromebook-laptop-intel-processor-n200-8gb-memory-64gb-emmc-natural-silver/6535992.p?skuId=6535992,BestBuy,64,8,15.6,3.81,0.78 x 14.28 x 9.51 inches
Apple,"MacBook Pro 14"" Laptop - M3 Pro chip Built for Apple Intelligence - 18GB Memory - 14-core GPU - 512GB SSD",MRX33LL/A,Apple,Apple M3 Pro,SSD,macOS Sonoma 14,3024 x 1964,4.9,18.0,"(2,519 Reviews)",1699.0,yes,2024-11-02 20:18:06,https://www.bestbuy.com/site/apple-macbook-pro-14-laptop-m3-pro-chip-built-for-apple-intelligence-18gb-memory-14-core-gpu-512gb-ssd-space-black/6534615.p?skuId=6534615,BestBuy,512,18,14.2,3.5,0.61 x 12.31 x 8.71 inches
HP,"14"" Chromebook Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",14a-ne0013dx,Intel,Intel Celeron,eMMC,Chrome OS,1366 x 768 (HD),4.5,,"(2,183 Reviews)",159.0,yes,2024-11-02 20:18:11,https://www.bestbuy.com/site/hp-14-chromebook-laptop-intel-celeron-4gb-memory-64gb-emmc-modern-gray/6513217.p?skuId=6513217,BestBuy,64,4,14.0,3.35,0.72 x 12.85 x 8.94 inches
Lenovo,"IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage",82QD00HMUS,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),,10.0,Be the first to write a review,399.99,yes,2024-11-02 20:18:19,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i5-8gb-memory-with-512gb-ssd-storage-abyss-blue/6588661.p?skuId=6588661,BestBuy,512,8,15.6,3.52,0.7 x 9.29 x 14.17 inches
Apple,MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory -  256GB SSD,MRXV3LL/A,Apple,Apple M3,SSD,macOS Sonoma 14,2560 x 1664,4.9,18.0,"(1,184 Reviews)",999.0,yes,2024-11-02 20:18:24,https://www.bestbuy.com/site/apple-macbook-air-13-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-256gb-ssd-midnight/6565837.p?skuId=6565837,BestBuy,256,8,13.6,2.7,0.44 x 11.97 x 8.46 inches
Dell,Inspiron 15 (3520) Touch Laptop - Intel Core i7 processor - 16GB Memory - 1TB SSD,i3520-7896BLK-PUS,Intel,Intel 12th Generation Core i7,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.7,9.0,(123 Reviews),749.99,yes,2024-11-02 20:18:29,https://www.bestbuy.com/site/dell-inspiron-15-3520-touch-laptop-intel-core-i7-processor-16gb-memory-1tb-ssd-carbon-black/6580453.p?skuId=6580453,BestBuy,1000,16,15.6,3.65,0.83 x 14.11 x 9.27 inches
Lenovo,"Yoga Pro 9i 16"" 3.2K Mini LED Touchscreen Laptop - Intel Core Ultra 9 - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",83DN0007US,Intel,Intel Core Ultra 9 Series 1,SSD,Windows 11 Home,3200 x 2000,4.2,5.0,(57 Reviews),1699.99,yes,2024-11-02 20:18:36,https://www.bestbuy.com/site/lenovo-yoga-pro-9i-16-3-2k-mini-led-touchscreen-laptop-intel-core-ultra-9-32gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-luna-grey/6571373.p?skuId=6571373,BestBuy,1000,32,16.0,5.07,0.81 x 14.28 x 9.99 inches
Lenovo,"Yoga 7i 2-in-1 16"" 2K Touchscreen Laptop - Intel Core Ultra 7 155U with 16GB Memory - 1TB SSD",83DL0002US,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (Full HD+),4.8,13.0,(445 Reviews),1049.99,yes,2024-11-02 20:18:41,https://www.bestbuy.com/site/lenovo-yoga-7i-2-in-1-16-2k-touchscreen-laptop-intel-core-ultra-7-155u-with-16gb-memory-1tb-ssd-storm-grey/6571369.p?skuId=6571369,BestBuy,1000,16,16.0,4.63,0.75 x 14.24 x 9.84 inches
Dell,Inspiron 14” 2-in-1 Touch Laptop – Intel Core 7 Processor – 16GB Memory – 1TB SDD,i7440-7304BLU-PUS,Intel,Intel Core 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (Full HD+),4.5,10.0,(229 Reviews),699.99,yes,2024-11-02 20:18:47,https://www.bestbuy.com/site/dell-inspiron-14-2-in-1-touch-laptop-intel-core-7-processor-16gb-memory-1tb-sdd-ice-blue/6576386.p?skuId=6576386,BestBuy,1000,16,14.0,3.77,0.74 x 12.36 x 8.9 inches
Acer,"Aspire Vero 16 AV16-51P-7063-16"" WUXGA Eco-Friendly Laptop- Intel Core Ultra 7-16GB LPDDR5X Memory-512GB PCIe Gen 4 SSD",AV16-51P-7063,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,2560 x 1600,,10.0,Be the first to write a review,,yes,2024-11-02 20:18:52,https://www.bestbuy.com/site/acer-aspire-vero-16-av16-51p-7063-16-wuxga-eco-friendly-laptop-intel-core-ultra-7-16gb-lpddr5x-memory-512gb-pcie-gen-4-ssd-gray/6595666.p?skuId=6595666,BestBuy,512,16,16.0,3.97,
Microsoft,"Surface Laptop Studio 2 - 14.4"" Touch-Screen - Intel Core i7 with 16GB Memory -GeForce RTX 4050-512GB SSD (Latest Model)",YZY-00001,Intel,Intel 13th Generation Core i7,SSD,Windows 11 Home,2400 x 1600,4.6,18.0,(137 Reviews),2199.99,yes,2024-11-02 20:18:57,https://www.bestbuy.com/site/microsoft-surface-laptop-studio-2-14-4-touch-screen-intel-core-i7-with-16gb-memory-geforce-rtx-4050-512gb-ssd-latest-model-platinum/6554718.p?skuId=6554718,BestBuy,512,16,14.4,4.41,0.86 x 9.06 x 12.72 inches
Lenovo,"IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage",82V6009NUS,Intel,Intel Celeron,eMMC,Windows 11 Home in S Mode,1366 x 768 (HD),4.2,10.0,(18 Reviews),249.99,yes,2024-11-02 20:19:03,https://www.bestbuy.com/site/lenovo-ideapad-1-14-hd-laptop-intel-celeron-n4020-4gb-memory-with-128gb-emmc-storage-abyss-blue/6588658.p?skuId=6588658,BestBuy,128,4,14.0,3.08,0.7 x 8.52 x 12.81 inches
Lenovo,"Flex 5i 14"" FHD Touchscreen 2-in-1 Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD",82R700L4US,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1920 x 1200 (Full HD+),4.5,9.0,(237 Reviews),549.99,yes,2024-11-02 20:19:08,https://www.bestbuy.com/site/lenovo-flex-5i-14-fhd-touchscreen-2-in-1-laptop-intel-core-i3-1215u-with-8gb-memory-intel-uhd-graphics-256gb-ssd-storm-grey/6571566.p?skuId=6571566,BestBuy,256,8,14.0,3.42,0.7 x 12.32 x 8.85 inches
Dell,Inspiron 16” 2-in-1 Mini-LED Touch Laptop Intel Core Ultra 7 Processor - 32GB Memory – 1TB SDD - Intel Arc Graphics,i7640-7380BLU-PUS,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,2560 x 1600,4.4,,(50 Reviews),1499.99,yes,2024-11-02 20:19:15,https://www.bestbuy.com/site/dell-inspiron-16-2-in-1-mini-led-touch-laptop-intel-core-ultra-7-processor-32gb-memory-1tb-sdd-intel-arc-graphics-midnight-blue/6576385.p?skuId=6576385,BestBuy,1000,32,16.0,4.8,
Lenovo,"Yoga Pro 9i 16"" 3.2K Touchscreen Laptop - Intel Core Ultra 9 185H with 32GB Memory - NVIDIA GeForce RTX 4050 - 1TB SSD",83DN0006US,Intel,Intel Core Ultra 9 Series 1,SSD,Windows 11 Home,3200 x 2000,4.4,8.0,(123 Reviews),1499.99,yes,2024-11-02 20:19:20,https://www.bestbuy.com/site/lenovo-yoga-pro-9i-16-3-2k-touchscreen-laptop-intel-core-ultra-9-185h-with-32gb-memory-nvidia-geforce-rtx-4050-1tb-ssd-luna-grey/6571367.p?skuId=6571367,BestBuy,1000,32,16.0,4.96,0.74 x 14.28 x 9.99 inches
HP,"14"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",14-dq0052dx,Intel,Intel Celeron,eMMC,Windows 11 Home in S Mode,1366 x 768 (HD),4.1,11.5,"(5,153 Reviews)",144.99,yes,2024-11-02 20:19:25,https://www.bestbuy.com/site/hp-14-laptop-intel-celeron-4gb-memory-64gb-emmc-snowflake-white/6499749.p?skuId=6499749,BestBuy,64,4,14.0,3.24,0.71 x 12.76 x 8.86 inches
HP,"17.3"" Full HD Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD",17-cp3005dx,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.7,9.0,(66 Reviews),629.99,yes,2024-11-02 20:19:33,https://www.bestbuy.com/site/hp-17-3-full-hd-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-natural-silver/6587274.p?skuId=6587274,BestBuy,512,8,17.3,4.58,0.78 x 15.78 x 10.15 inches
ASUS,"Zenbook 14 OLED 14” WUXGA Touch Laptop, Intel Core Ultra 7 - Intel Evo Edition - 16GB Memory - 1TB SSD",Q425MA-U71TB,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.7,15.0,(372 Reviews),1049.99,yes,2024-11-02 20:19:38,https://www.bestbuy.com/site/asus-zenbook-14-oled-14-wuxga-touch-laptop-intel-core-ultra-7-intel-evo-edition-16gb-memory-1tb-ssd-jasper-gray/6568761.p?skuId=6568761,BestBuy,1000,16,14.0,2.82,12.29 x 8.66 x 0.59 inches
HP,"Envy 2-in-1 14"" 2K Touch-Screen Laptop - AMD Ryzen 5 - 16GB Memory - 512GB SSD",14-fa0013dx,AMD,AMD Ryzen 5 8000 Series,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.7,,(293 Reviews),879.99,yes,2024-11-02 20:19:44,https://www.bestbuy.com/site/hp-envy-2-in-1-14-2k-touch-screen-laptop-amd-ryzen-5-16gb-memory-512gb-ssd-glacier-silver/6571087.p?skuId=6571087,BestBuy,512,16,14.0,3.08,0.67 x 12.24 x 8.62 inches
Samsung,"Galaxy Book4 Edge - Copilot+ PC - 14"" AMOLED Touch-Screen Laptop - Snapdragon X Elite 3.4Ghz- 16GB Memory- 512GB Storage",NP940XMA-KB1US,Qualcomm,Qualcomm Snapdragon X Elite,UFS,Windows 11 Home,2880 x 1800,4.0,18.0,(52 Reviews),849.99,yes,2024-11-02 20:19:49,https://www.bestbuy.com/site/samsung-galaxy-book4-edge-copilot-pc-14-amoled-touch-screen-laptop-snapdragon-x-elite-3-4ghz-16gb-memory-512gb-storage-sapphire-blue/6583789.p?skuId=6583789,BestBuy,512,16,14.0,2.62,0.43 x 8.81 x 12.30 inches
HP,"ProBook 640 G5 14"" Refurbished Laptop - Intel 8th Gen Core i5 with 16GB Memory - Intel UHD Graphics 620 - 512GB SSD",640 G5,Intel,Intel 8th Generation Core i5,SSD,Windows 11 Pro,1366 x 768 (HD),4.6,,(22 Reviews),309.99,yes,2024-11-02 20:19:55,https://www.bestbuy.com/site/hp-probook-640-g5-14-refurbished-laptop-intel-8th-gen-core-i5-with-16gb-memory-intel-uhd-graphics-620-512gb-ssd-silver/6579725.p?skuId=6579725,BestBuy,512,16,14.0,3.8,
Dell,Inspiron 16” 2-in-1 Touch Laptop - Intel Core Ultra 7 Processor - 16GB Memory - 1TB SSD – Intel Arc Graphics,i7640-7366BLU-PUS,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (Full HD+),4.7,16.0,(239 Reviews),1149.99,yes,2024-11-02 20:20:01,https://www.bestbuy.com/site/dell-inspiron-16-2-in-1-touch-laptop-intel-core-ultra-7-processor-16gb-memory-1tb-ssd-intel-arc-graphics-ice-blue/6575151.p?skuId=6575151,BestBuy,1000,16,16.0,4.8,
Lenovo,"Legion 7i 16"" Gaming Laptop WQXGA - Intel 14th Gen Core i9 with 32GB Memory - NVIDIA GeForce RTX 4070 8GB - 1TB SSD",83FD0015US,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Home,2560 x 1600,4.4,5.7,(95 Reviews),1699.99,yes,2024-11-02 20:20:08,https://www.bestbuy.com/site/lenovo-legion-7i-16-gaming-laptop-wqxga-intel-14th-gen-core-i9-with-32gb-memory-nvidia-geforce-rtx-4070-8gb-1tb-ssd-glacier-white/6575387.p?skuId=6575387,BestBuy,1000,32,16.0,4.928,0.78 x 14.09 x 10.33 inches
Samsung,"Galaxy Book4 Pro 16"" AMOLED Touch Screen Laptop - Intel Core Ultra 7- 16GB Memory - 1TB SSD",NP960XGK-KG1US,Intel,Intel Core Ultra 7 Series 1 Evo Edition,SSD,Windows 11 Home,2880 x 1800,3.0,21.0,(7 Reviews),1499.99,yes,2024-11-02 20:20:17,https://www.bestbuy.com/site/samsung-galaxy-book4-pro-16-amoled-touch-screen-laptop-intel-core-ultra-7-16gb-memory-1tb-ssd-moonstone-gray/6572178.p?skuId=6572178,BestBuy,1000,16,16.0,3.44,0.49 x 9.86 x 13.99 inches
ASUS,"ROG Strix 18"" QHD 240Hz Gaming Laptop - Intel 14th Gen Core i9 with 32GB Memory - NVIDIA GeForce RTX 4080 - 2TB SSD",G814JZR-G18.I94080,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Home,2560 x 1600,4.6,10.0,(213 Reviews),2599.99,yes,2024-11-02 20:20:22,https://www.bestbuy.com/site/asus-rog-strix-18-qhd-240hz-gaming-laptop-intel-14th-gen-core-i9-with-32gb-memory-nvidia-geforce-rtx-4080-2tb-ssd-eclipse-gray/6570224.p?skuId=6570224,BestBuy,2000,32,18.0,6.5,15.71 x 11.57 x 1.21 inches
ASUS,"Vivobook S 14"" OLED 3K 120Hz Laptop - Copilot+ PC - AMD Ryzen AI 9 365 with 24GB RAM - 512GB SSD",M5406WA-DS76,AMD,AMD Ryzen AI 300 Series,SSD,Windows 11 Home,2880 x 1800,5.0,17.0,(1 Review),1128.99,yes,2024-11-02 20:20:26,https://www.bestbuy.com/site/asus-vivobook-s-14-oled-3k-120hz-laptop-copilot-pc-amd-ryzen-ai-9-365-with-24gb-ram-512gb-ssd-neutral-black/6593257.p?skuId=6593257,BestBuy,512,24,14.0,2.87,0.63 x 12.22 x 8.74 inches
Lenovo,"Yoga 7 2-in-1 14"" 2K Touchscreen Laptop - AMD Ryzen 7 8840HS with 16GB Memory - 1 TB SSD",83DK000AUS,AMD,AMD Ryzen 7 8000 Series,SSD,Windows 11 Home,1900 x 1200 (WUXGA),4.5,12.5,(106 Reviews),899.99,yes,2024-11-02 20:20:31,https://www.bestbuy.com/site/lenovo-yoga-7-2-in-1-14-2k-touchscreen-laptop-amd-ryzen-7-8840hs-with-16gb-memory-1-tb-ssd-artic-grey/6571366.p?skuId=6571366,BestBuy,1000,16,14.0,3.57,0.72 x 12.51 x 8.75 inches
Microsoft,"Surface Laptop Go 3 - 12.4"" Touch-Screen - Intel Core i5 with 8GB Memory - 256GB SSD (Latest Model)",XK1-00059,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home,1536 x 1024,4.6,15.0,(454 Reviews),799.99,yes,2024-11-02 20:20:36,https://www.bestbuy.com/site/microsoft-surface-laptop-go-3-12-4-touch-screen-intel-core-i5-with-8gb-memory-256gb-ssd-latest-model-ice-blue/6554722.p?skuId=6554722,BestBuy,256,8,12.4,2.49,0.62 x 8.12 x 10.95 inches
HP,"14"" 2-in-1 Full HD Touch-Screen Chromebook Plus Laptop with Google AI - Intel Core i3 - 8GB Memory - 256GB UFS",14B-CD0023DX,Intel,Intel Core i3,UFS,Chrome OS,1920 x 1080 (Full HD),4.3,10.25,(12 Reviews),499.0,yes,2024-11-02 20:20:41,https://www.bestbuy.com/site/hp-14-2-in-1-full-hd-touch-screen-chromebook-plus-laptop-with-google-ai-intel-core-i3-8gb-memory-256gb-ufs-meteor-silver/6587437.p?skuId=6587437,BestBuy,256,8,14.0,3.03,0.81 x 12.72 x 8.28 inches
ASUS,"Vivobook Go 14"" FHD Touch Laptop - Intel Pentium Silver with 8GB Memory - 128GB eMMC",TP1400KA-DS24T,Intel,Intel Pentium,eMMC,Windows 11 Home in S Mode,1920 x 1080 (Full HD),5.0,,(2 Reviews),449.99,yes,2024-11-02 20:20:47,https://www.bestbuy.com/site/asus-vivobook-go-14-fhd-touch-laptop-intel-pentium-silver-with-8gb-memory-128gb-emmc-quiet-blue/6588609.p?skuId=6588609,BestBuy,128,8,14.0,3.31,0.67 x 12.63 x 8.54 inches
ASUS,"Vivobook S 15 15"" 3K OLED Laptop - Copilot+ PC - Qualcomm Snapdragon X Plus - 16GB Memory - 512GB SSD",Q5507QA-S15.X1P512,Qualcomm,Qualcomm Snapdragon X Plus,SSD,Windows 11 Home,2880 x 1800,4.5,,(27 Reviews),749.99,yes,2024-11-02 20:20:52,https://www.bestbuy.com/site/asus-vivobook-s-15-15-3k-oled-laptop-copilot-pc-qualcomm-snapdragon-x-plus-16gb-memory-512gb-ssd-neutral-black/6585180.p?skuId=6585180,BestBuy,512,16,15.6,3.13,0.58 x 8.94 x 13.88 inches
Lenovo,"ThinkPad E16 Gen 1 16"" Laptop - i7-1355U with 16GB Memory - 512GB SSD",21JN0073US,Intel,Intel 13th Generation Core i7,SSD,Windows 11 Pro,1920 x 1200 (WUXGA),5.0,10.78,(3 Reviews),1059.99,yes,2024-11-02 20:20:57,https://www.bestbuy.com/site/lenovo-thinkpad-e16-gen-1-16-laptop-i7-1355u-with-16gb-memory-512gb-ssd-black/6557682.p?skuId=6557682,BestBuy,512,16,16.0,4.34,0.78 x 14.02 x 9.75 inches
Acer,"Chromebook 311 - 11.6"" HD Laptop - Intel Celeron N4500 - 4GB Memory - 64GB eMMC",CBOA311-1H-C90F,Intel,Intel Celeron,eMMC,Chrome OS,1366 x 768 (HD),4.6,8.0,(27 Reviews),109.0,yes,2024-11-02 20:21:02,https://www.bestbuy.com/site/acer-chromebook-311-11-6-hd-laptop-intel-celeron-n4500-4gb-memory-64gb-emmc-star-black/6587182.p?skuId=6587182,BestBuy,64,4,11.6,2.65,
Lenovo,"IdeaPad Slim 3 Chromebook Laptop - 14"" FHD Touchscreen Laptop - MediaTek Kompanio 520 - 4GB Memory - 64GB eMMC",82XJ0000US,MediaTek,MediaTek Kompanio 500 Series,eMMC,Chrome OS,1920 x 1080 (Full HD),4.6,13.5,"(1,187 Reviews)",319.0,yes,2024-11-02 20:21:09,https://www.bestbuy.com/site/lenovo-ideapad-slim-3-chromebook-laptop-14-fhd-touchscreen-laptop-mediatek-kompanio-520-4gb-memory-64gb-emmc-abyss-blue/6531742.p?skuId=6531742,BestBuy,64,4,14.0,2.87,0.73 x 12.83 x 8.73 inches
Dell,Inspiron 14 2-in-1 Touch Laptop - AMD Ryzen 5 Processor - AMD Radeon Graphics - 8 GB Memory - 512 GB SSD,i7445-5333BLU-PUS,AMD,AMD Ryzen 5 8000 Series,SSD,Windows 11 Home,1920 x 1200 (Full HD+),4.5,10.0,(141 Reviews),729.99,yes,2024-11-02 20:21:17,https://www.bestbuy.com/site/dell-inspiron-14-2-in-1-touch-laptop-amd-ryzen-5-processor-amd-radeon-graphics-8-gb-memory-512-gb-ssd-midnight-blue/6576719.p?skuId=6576719,BestBuy,512,8,14.0,3.77,0.74 x 12.36 x 8.9 inches
Apple,"MacBook Pro 16"" Laptop - M3 Max chip Built for Apple Intelligence - 48GB Memory - 40-core GPU - 1TB SSD",MUW63LL/A,Apple,Apple M3 Max,SSD,macOS Sonoma 14,3456 x 2234,4.9,22.0,(191 Reviews),3499.0,yes,2024-11-02 20:21:21,https://www.bestbuy.com/site/apple-macbook-pro-16-laptop-m3-max-chip-built-for-apple-intelligence-48gb-memory-40-core-gpu-1tb-ssd-space-black/6534612.p?skuId=6534612,BestBuy,1000,48,16.2,4.8,0.66 x 14 x 9.77 inches
Lenovo,"Flex 3 15.6"" FHD Touch-Screen Chromebook Laptop - Pentium Silver N6000 with 8GB Memory - 64GB eMMC",82T30012US,Intel,Intel Pentium,eMMC,Chrome OS,1920 x 1080 (Full HD),4.6,10.0,(525 Reviews),328.99,,2024-11-02 20:21:27,https://www.bestbuy.com/site/lenovo-flex-3-15-6-fhd-touch-screen-chromebook-laptop-pentium-silver-n6000-with-8gb-memory-64gb-emmc-abyss-blue/6531745.p?skuId=6531745,BestBuy,64,8,15.6,4.19,0.75 x 14.25 x 9.76 inches
Lenovo,"Lenovo ThinkPad E16 Gen 2 16"" Touch-Screen Laptop - Core Ultra 7 with 16GB Memory - 512GB SSD",21MA0005US,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Pro,1900 x 1200 (WUXGA),,10.0,Be the first to write a review,1149.99,yes,2024-11-02 20:21:32,https://www.bestbuy.com/site/lenovo-thinkpad-e16-gen-2-16-touch-screen-laptop-core-ultra-7-with-16gb-memory-512gb-ssd-black/6589812.p?skuId=6589812,BestBuy,512,16,16.0,3.99,0.78 x 14.02 x 9.75 inches
MSI,"Titan 18 HX A14V 18"" 120 Hz Gaming Laptop 3840 x 2400 (UHD+) - Intel 14th Gen Core i9 i9-14900HX with 128GB Memory",TITAN18HX14036,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Pro,3840 x 2400,4.5,,(2 Reviews),5399.99,yes,2024-11-02 20:21:37,https://www.bestbuy.com/site/msi-titan-18-hx-a14v-18-120-hz-gaming-laptop-3840-x-2400-uhd--intel-14th-gen-core-i9-i9-14900hx-with-128gb-memory-core-black-black/6578610.p?skuId=6578610,BestBuy,4000,128,18.0,7.93,1 13/50 x 15 9/10 x 12 1/10 inches
HP,"Spectre 3-in-1 17"" 2.5K OLED Touch-Screen Foldable Laptop - Intel Evo Platform - Core i7 - 16GB Memory - 1TB SSD",17-cs0013dx,Intel,Intel 12th Generation Core i7 Evo Platform,SSD,Windows 11 Home,2560 x 1920,4.5,13.5,(32 Reviews),4999.99,yes,2024-11-02 20:21:52,https://www.bestbuy.com/site/hp-spectre-3-in-1-17-2-5k-oled-touch-screen-foldable-laptop-intel-evo-platform-core-i7-16gb-memory-1tb-ssd-slate-blue/6553048.p?skuId=6553048,BestBuy,1024,16,17.0,3.58,0.84 x 10.91 x 7.53 inches
Apple,MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD,MRXW3LL/A,Apple,Apple M3,SSD,macOS Sonoma 14,2560 x 1664,4.9,18.0,(253 Reviews),1199.0,yes,2024-11-02 20:21:57,https://www.bestbuy.com/site/apple-macbook-air-13-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-512gb-ssd-midnight/6565838.p?skuId=6565838,BestBuy,512,8,13.6,2.7,0.44 x 11.97 x 8.46 inches
